,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,E16,E17,E18
E01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E18,4,0,8,0,0,0,4,0,0,0,0,0,0,0,3,2,0,0
